iter	Passed	Remaining
0	31	95072
1	50	74956
2	71	70994
3	87	65724
4	104	62399
5	123	61747
6	146	62647
7	172	64361
8	189	63112
9	207	62076
10	226	61515
11	243	60726
12	259	59709
13	276	58946
14	292	58237
15	309	57638
16	327	57416
17	345	57245
18	363	56981
19	379	56594
20	403	57199
21	421	57025
22	439	56885
23	462	57308
24	495	58977
25	520	59489
26	537	59203
27	554	58805
28	570	58460
29	587	58149
30	604	57927
31	623	57797
32	639	57519
33	658	57428
34	676	57342
35	694	57144
36	709	56835
37	728	56811
38	749	56880
39	765	56683
40	782	56467
41	798	56249
42	815	56107
43	841	56501
44	868	57015
45	885	56838
46	902	56730
47	920	56605
48	936	56401
49	952	56202
50	970	56091
51	986	55938
52	1002	55735
53	1018	55544
54	1034	55402
55	1050	55227
56	1066	55084
57	1086	55102
58	1104	55034
59	1122	55024
60	1141	55010
61	1158	54906
62	1175	54807
63	1240	56885
64	1265	57163
65	1284	57112
66	1304	57099
67	1323	57047
68	1573	66843
69	1656	69331
70	1672	68988
71	1688	68653
72	1703	68317
73	1718	67969
74	1733	67618
75	1749	67300
76	1766	67071
77	1785	66881
78	1803	66693
79	1824	66608
80	1843	66432
81	1859	66182
82	1876	65954
83	1894	65761
84	1913	65611
85	1934	65538
86	1954	65446
87	1974	65330
88	1990	65095
89	2004	64817
90	2019	64564
91	2036	64357
92	2052	64168
93	2072	64064
94	2091	63961
95	2107	63740
96	2124	63574
97	2139	63365
98	2157	63213
99	2178	63182
100	2203	63244
101	2228	63318
102	2259	63547
103	2307	64260
104	2331	64294
105	2366	64602
106	2396	64800
107	2423	64895
108	2445	64853
109	2464	64740
110	2488	64776
111	2511	64766
112	2532	64704
113	2552	64620
114	2571	64515
115	2594	64512
116	2613	64401
117	2633	64322
118	2654	64253
119	2674	64179
120	2693	64094
121	2713	64013
122	2746	64250
123	2770	64260
124	2792	64218
