iter	MultiClass
0	1.380849894
1	1.37583831
2	1.371354662
3	1.367439609
4	1.363895287
5	1.360267815
6	1.356873193
7	1.352850319
8	1.349873369
9	1.346625313
10	1.344257619
11	1.341626399
12	1.338588912
13	1.33630347
14	1.334291263
15	1.331978511
16	1.329445994
17	1.327678034
18	1.325743147
19	1.324274629
20	1.321977022
21	1.320248867
22	1.318444579
23	1.317190018
24	1.315455206
25	1.313944646
26	1.312598869
27	1.311186465
28	1.309464975
29	1.308223684
30	1.306814392
31	1.305549635
32	1.30435843
33	1.303000237
34	1.302025821
35	1.300998769
36	1.300040859
37	1.298722566
38	1.297782733
39	1.296732126
40	1.295683498
41	1.294593042
42	1.293821291
43	1.293151828
44	1.292128399
45	1.291062909
46	1.290216302
47	1.289552293
48	1.288807303
49	1.287805601
50	1.286727023
51	1.285937114
52	1.285185874
53	1.284447512
54	1.283423944
55	1.282679019
56	1.281923457
57	1.281199545
58	1.280608981
59	1.280240665
60	1.27966651
61	1.278853604
62	1.278396816
63	1.277845787
64	1.277089717
65	1.276514808
66	1.276054544
67	1.275259022
68	1.274696818
69	1.273846353
70	1.273257514
71	1.272549316
72	1.271987529
73	1.271237767
74	1.270890695
75	1.270298083
76	1.269633676
77	1.268994045
78	1.26835698
79	1.267540243
80	1.266996933
81	1.26641182
82	1.265654265
83	1.264762955
84	1.264204005
85	1.263470358
86	1.262917296
87	1.262032014
88	1.261495613
89	1.261045825
90	1.260513063
91	1.259869061
92	1.259373868
93	1.258723768
94	1.258224354
95	1.257815509
96	1.257182892
97	1.256746326
98	1.256087432
99	1.255735872
100	1.255069265
101	1.254451051
102	1.253930164
103	1.253309727
104	1.252767967
105	1.252068416
106	1.251583298
107	1.250832516
108	1.250274616
109	1.250024118
110	1.249413033
111	1.249095765
112	1.248212873
113	1.247909576
114	1.247284178
115	1.246856549
116	1.246371278
117	1.245890604
118	1.245170481
119	1.244819358
120	1.244085466
121	1.243477987
122	1.242984216
123	1.242459873
124	1.241901397
125	1.241252176
126	1.240825864
127	1.240166158
128	1.239556972
129	1.239034319
130	1.238457452
131	1.237973738
132	1.237302359
133	1.236737213
134	1.236228726
135	1.235859272
136	1.235516214
137	1.234993723
138	1.234300116
139	1.233747457
140	1.233263229
141	1.232631111
142	1.23198413
143	1.231656559
144	1.230940486
145	1.230415463
146	1.229899428
147	1.229353159
148	1.228909465
149	1.228527266
150	1.228117887
151	1.227711
152	1.227292861
153	1.226532655
154	1.225918654
155	1.2253139
156	1.224990544
157	1.224458097
158	1.224107527
159	1.223525243
160	1.22287977
161	1.22261198
162	1.222309771
163	1.221950934
164	1.221514667
165	1.221085552
166	1.220554785
167	1.220225715
168	1.219692521
169	1.219196962
170	1.218325716
171	1.217736888
172	1.217394301
173	1.216937171
174	1.216497908
175	1.216177689
176	1.215659161
177	1.215182137
178	1.214707348
179	1.214070566
180	1.213574523
181	1.213137803
182	1.212625475
183	1.211997192
184	1.211407864
185	1.210817145
186	1.210453963
187	1.20984565
188	1.209286115
189	1.208861026
190	1.208128998
191	1.207533581
192	1.206881459
193	1.206678515
194	1.206428143
195	1.205775681
196	1.205218846
197	1.204770912
198	1.20406546
199	1.203554374
200	1.203066754
201	1.202437281
202	1.20186902
203	1.201198605
204	1.200792469
205	1.200359514
206	1.199808916
207	1.199404859
208	1.199017896
209	1.198286113
210	1.197656639
211	1.19709924
212	1.196529062
213	1.19581212
214	1.19512683
215	1.194463484
216	1.194041559
217	1.193709307
218	1.193242176
219	1.192446511
220	1.191989976
221	1.191464649
222	1.191118826
223	1.190550663
224	1.189955695
225	1.189352151
226	1.18870277
227	1.188056817
228	1.187480579
