iter	MultiClass
0	1.380732367
1	1.375067901
2	1.370429428
3	1.366179193
4	1.362494684
5	1.358820749
6	1.355502052
7	1.352136925
8	1.349331363
9	1.346537976
10	1.343806414
11	1.341393993
12	1.338547281
13	1.33589195
14	1.333947808
15	1.331768676
16	1.329959872
17	1.32803708
18	1.32638526
19	1.324862493
20	1.323356251
21	1.321381707
22	1.319855198
23	1.318367723
24	1.316857498
25	1.315283312
26	1.314076097
27	1.312864165
28	1.311601736
29	1.310164457
30	1.309303099
31	1.308195366
32	1.306839822
33	1.305739725
34	1.30450737
35	1.303468732
36	1.302415866
37	1.301197756
38	1.300451532
39	1.299457623
40	1.298653127
41	1.297822036
42	1.297022274
43	1.296423948
44	1.295233284
45	1.294333593
46	1.293568125
47	1.293163076
48	1.29233029
49	1.291612274
50	1.290683437
51	1.290296594
52	1.289682432
53	1.289150732
54	1.288266516
55	1.287433108
56	1.286783498
57	1.286245809
58	1.285531409
59	1.285028739
60	1.284283227
61	1.283752824
62	1.283207041
63	1.282700918
64	1.281875033
65	1.2815389
66	1.280793961
67	1.280251322
68	1.279747064
69	1.279036781
70	1.278421894
71	1.277873959
72	1.277359447
73	1.276903184
74	1.276258525
75	1.275798073
76	1.27524995
77	1.274668354
78	1.274169095
79	1.273565091
80	1.273210009
81	1.272560806
82	1.271828766
83	1.271508144
84	1.27102656
85	1.270182469
86	1.269836771
87	1.269396111
88	1.268789309
89	1.268226307
90	1.267475796
91	1.267094963
92	1.266402363
93	1.265993214
94	1.265600712
95	1.264943957
96	1.264315025
97	1.263825272
98	1.263269263
99	1.2630149
100	1.262494488
101	1.262060709
102	1.261393645
103	1.26100274
104	1.260555939
105	1.259920234
106	1.259272891
107	1.258883754
108	1.258364213
109	1.257823942
110	1.257261447
111	1.256763775
112	1.256178205
113	1.255532018
114	1.255053437
115	1.254586613
116	1.25403817
117	1.253526156
118	1.253161252
119	1.252886104
120	1.252481256
121	1.252083083
122	1.251784744
123	1.251228459
124	1.250864888
125	1.250605215
126	1.250053978
127	1.249631647
128	1.249123867
129	1.248552284
130	1.248041932
131	1.247618128
132	1.247181025
133	1.246823975
134	1.246524508
135	1.246160826
136	1.245757822
137	1.245227609
138	1.244801261
139	1.244267086
140	1.243967407
141	1.243538439
142	1.243179877
143	1.242787392
144	1.242541737
145	1.242193516
146	1.241758128
147	1.241482931
148	1.241123127
149	1.240657802
150	1.24016429
151	1.239806166
152	1.239462236
153	1.238934402
154	1.238469184
155	1.238255624
156	1.237993281
157	1.237688482
158	1.23734116
159	1.236882067
160	1.23647697
161	1.235936011
162	1.23526183
163	1.234734271
164	1.234336457
165	1.233856345
166	1.233486406
167	1.233130135
168	1.232869863
169	1.232413483
170	1.232142687
171	1.231657892
172	1.231119249
173	1.230715073
174	1.230297154
175	1.229922303
176	1.229504974
177	1.229188978
178	1.22854324
179	1.228022172
180	1.227672621
181	1.227451148
182	1.22714611
183	1.226781215
184	1.226357996
185	1.225815742
186	1.225304875
187	1.224945751
188	1.224569613
189	1.224203844
190	1.223703506
191	1.223208138
192	1.222820967
193	1.222532897
194	1.222105149
195	1.221741467
196	1.221261236
197	1.2208126
198	1.220080535
199	1.219556367
200	1.219014039
