iter	Passed	Remaining
0	25	75608
1	43	64867
2	62	62011
3	77	58274
4	93	56044
5	109	54603
6	124	53328
7	139	52237
8	157	52419
9	176	52875
10	200	54567
11	222	55367
12	238	54862
13	255	54461
14	271	54068
15	287	53582
16	302	53012
17	316	52515
18	331	51975
19	346	51617
20	361	51224
21	376	50917
22	390	50562
23	406	50370
24	420	50074
25	441	50554
26	458	50472
27	476	50566
28	492	50431
29	507	50252
30	523	50101
31	538	49903
32	551	49604
33	565	49335
34	580	49142
35	594	48922
36	609	48781
37	625	48729
38	639	48581
39	655	48493
40	669	48350
41	685	48274
42	700	48172
43	715	48066
44	737	48426
45	755	48541
46	780	49015
47	797	49025
48	813	49016
49	830	49025
50	846	48922
51	862	48917
52	877	48813
53	893	48720
54	906	48563
55	921	48463
56	936	48337
57	950	48218
58	965	48129
59	982	48160
60	997	48066
61	1012	47957
62	1026	47875
63	1042	47845
64	1058	47795
65	1079	47973
66	1096	48020
67	1113	47990
68	1128	47922
69	1143	47851
70	1159	47832
71	1174	47766
72	1188	47671
73	1203	47576
74	1217	47488
75	1231	47378
76	1245	47270
77	1259	47166
78	1272	47056
79	1287	46998
80	1303	46962
81	1317	46877
82	1332	46841
83	1347	46765
84	1361	46704
85	1378	46705
86	1414	47369
87	1438	47599
88	1458	47690
89	1475	47706
90	1491	47663
91	1506	47611
92	1522	47582
93	1536	47502
94	1551	47437
95	1566	47392
96	1581	47344
97	1596	47286
98	1611	47210
99	1626	47154
100	1641	47109
101	1657	47080
102	1671	47009
103	1686	46957
104	1702	46932
105	1722	47041
106	1742	47111
107	1760	47141
108	1775	47098
109	1791	47058
110	1805	46991
111	1820	46950
112	1835	46883
113	1850	46835
114	1864	46775
115	1879	46720
116	1893	46656
117	1909	46625
118	1923	46563
119	1937	46505
120	1953	46475
121	1968	46442
122	1983	46404
123	1999	46384
124	2015	46354
125	2040	46536
126	2062	46656
127	2080	46675
128	2095	46633
129	2111	46605
130	2126	46581
131	2142	46541
132	2156	46482
133	2172	46459
134	2187	46416
135	2205	46445
136	2221	46433
137	2237	46400
138	2252	46357
139	2266	46294
140	2280	46244
141	2295	46196
142	2310	46157
143	2327	46171
144	2347	46222
145	2372	46373
146	2392	46436
147	2409	46429
148	2426	46420
149	2443	46423
150	2458	46391
151	2475	46379
152	2491	46354
153	2506	46316
154	2521	46283
155	2536	46246
156	2551	46194
157	2565	46149
158	2580	46105
159	2595	46061
160	2610	46024
161	2628	46043
